# Azel overlay script-dispatch names (Bucket 3 deliverable 4 harvest).
# Source: yaz0r/Azel (MIT) overlayScriptFunctions m_*Arg dispatch tables.
# JP-build addresses (= US per the JP/US identity finding, unverified per
# overlay). These are OVERLAY functions (outside 1ST_READ 0x06006000-0x06043e12),
# a naming resource for Bucket 4 overlay targets. hypothesis-azel; names only.
# vma	name	arg_arity	in_1st_read
0x600cddc	getNpcData5E	zero	yes
0x602c308	playSoundEffect_bank5	three	yes
0x60540f8	returnZero	zero	no
0x60541c4	scriptFunction_60541c4	one	no
0x6054334	scriptFunction_6054334_disableLock	two	no
0x6054364	scriptFunction_6054364_waitForLockDisableCompletion	one	no
0x6056484	scriptFunction_6056484	one	no
0x6056544	dragonInteract	one	no
0x6056562	getDragonAffinityOffset	one	no
0x6056574	setDragonSubState4	one	no
0x6056588	dragonRespondToPlayer	two	no
0x605664a	dragonTurnTowardsPlayer	one	no
0x6056662	isDragonDoneTurning	one	no
0x6056918	e006_scriptFunction_6056918	zero	no
0x6056926	scriptFunction_6056926	zero	no
0x6056c64	e006_scriptFunction_6056918	zero	no
0x6057058	scriptFunction_6057058	zero	no
0x60573b0	createEPKPlayer	one	no
0x60573d8	e006_scriptFunction_60573d8	zero	no
0x6057438	e006_scriptFunction_6057438	zero	no
0x6057470	scriptFunction_6057470	zero	no
0x6057570	hasLoadingCompleted	zero	no
0x605762a	scriptFunction_605762A	zero	no
0x60576fc	createEPKPlayer	one	no
0x6057724	e006_scriptFunction_60573d8	zero	no
0x6057746	e006_scriptFunction_605861eSub0	zero	no
0x6057784	e006_scriptFunction_6057438	zero	no
0x60579c4	e006_scriptFunction_6056918	zero	no
0x6057f46	startDragonNameEntryTask	zero	no
0x6057f7c	scriptFunction_6057058_sub0	zero	no
0x605800e	isObjectCloseEnoughToActivate	zero	no
0x605838c	SetupColorOffset	one	no
0x605845c	createEPKPlayer	one	no
0x6058484	e006_scriptFunction_60573d8	zero	no
0x60584a6	e006_scriptFunction_605861eSub0	zero	no
0x60584b4	hasLoadingCompleted	zero	no
0x605856e	setupAutoWalk	zero	no
0x605861e	setupDragonEntityForCutscene	one	no
0x605896a	setupDragonEntityForCutscene	one	no
0x6058f52	isObjectCloseEnoughToActivate	zero	no
0x60596ca	setupDragonEntityForCutscene	one	no
0x6059af0	e011_scriptFunction_6059af0	one	no
0x6059b7a	e011_scriptFunction_06059b7a	one	no
0x6059d08	SetupColorOffset	one	no
0x605b320	scriptFunction_605B320	two	no
0x605bb24	townCamera_setup	two	no
0x605bd8c	TwnFadeIn	one	no
0x605be04	TwnFadeOut	one	no
0x605be24	setNpcLocation	four	no
0x605be52	setNpcOrientation	four	no
0x605be70	townCamera_setup	two	no
0x605c0d8	TwnFadeIn	one	no
0x605c150	TwnFadeOut	one	no
0x605c55c	townCamera_setup	two	no
0x605c7c4	TwnFadeIn	one	no
0x605c83c	TwnFadeOut	one	no
0x605cbd0	townCamera_setup	two	no
0x605ce38	TwnFadeIn	one	no
0x605ceb0	TwnFadeOut	one	no
0x605d4a0	townCamera_setup	two	no
0x605d708	TwnFadeIn	one	no
0x605d780	TwnFadeOut	one	no
0x606c952	scriptFunction_0606c952	zero	no
0x606c95c	setupCameraUpdateForCurrentMode	zero	no
0x606cb54	scriptFunction_606cb54	zero	no
0x606d5bc	canCurrentResActivate	zero	no
0x606d5f2	isCurrentResInactive	zero	no
0x606d608	getGameStat	one	no
0x606e5a4	setupSeekerBackground	one	no
0x606e6d4	setupCaravanBackground	one	no
0x606e8a8	enableBackgroundWithTimer	one	no
0x60704c4	setNpcLocation	four	no
0x60704f2	setNpcOrientation	four	no
0x60706d4	setupCameraUpdateForCurrentMode	zero	no
0x60706f4	setupNpcWalkForward	zero	no
0x6070738	setupCameraModeFixed	three	no
0x6070768	setupNpcWalkForward_Seek	zero	no
0x60709ec	setupCameraFollowMode	zero	no
0x60709fa	setupCameraFollowMode_Cara	zero	no
0x6070a0a	disableCameraUpdate_Cara	zero	no
0x6070bd0	setFieldOfView	one	no
0x6070bfc	resetFieldOfView	zero	no
0x6070c0c	updateWorldGridFromEdgeTask	zero	no
0x6070c80	updateWorldGridFromEdgeTask	zero	no
0x60710c6	createCutsceneWaitTask	one	no
0x6071484	createCutscene_Cara	one	no
0x60714ac	townStartCutscenePlayback	zero	no
0x60714ce	townIsCutsceneDone	zero	no
0x607150c	townGetCutsceneHalfPosition	zero	no
0x6071544	townDeleteCutscene	zero	no
0x60716aa	isObjectCloseEnoughToActivate	zero	no
0x6071ade	scriptFunction_06071ade_toggleDayNight	zero	no
0x6071b40	townCamera_setup	two	no
0x6071da8	TwnFadeIn	one	no
0x6071e20	TwnFadeOut	one	no
0x6072440	createCaraSubTask	one	no
0x60724d4	setupColorOffset_Seek	one	no
0x607257e	setFarClipDistance	one	no
0x60725b4	updateWorldGridFromNpc0	zero	no
0x6073f5c	setNpcDrawMode	two	no
0x6074250	turnNpcTowardsNpc_Cara	three	no
0x607457c	setNpcLocation	four	no
0x60745aa	setNpcOrientation	four	no
0x60745f0	setNpcLocation	four	no
0x607461e	setNpcOrientation	four	no
0x60749d6	disableNpcLookAtDecay_Cara	one	no
0x60749ea	enableNpcLookAtDecay_Cara	one	no
0x60749fe	isNpcDoneMoving	one	no
0x6075bf8	caravanCameraSetup	two	no
0x6075c6c	townCamera_setup	two	no
0x6075cda	setupCaravanCamera	one	no
