# 1ST_READ.PRG function inventory (Bucket 4 STOP 1, reachability-merged).
# Our analysis only: addresses/sizes/evidence — no Sega bytes.
# Regenerable: python3 tools/sh2_map.py 1ST_READ.PRG && python3 tools/inventory_tsv.py 1ST_READ.PRG
# Detector seeded 3605 starts; 1664 interior over-seeds (prologue tails / mid-fn
# arg spills) merged by reachability (Finding 1 fix). Corrected inventory: 1941.
# size = owned span (flow_extent capped at next start); callers =
# in-degree over bsr + pool-resolved jsr edges. evidence: entry|prologue|bsr|jsr-pool|jmp-pool|ptr32
# vma	size	callers	evidence
0x6006000	150	0	entry
0x60060e0	194	1	prologue+bsr
0x60061f0	34	1	jsr-pool+ptr32
0x6006236	52	1	bsr
0x600626a	18	2	bsr
0x600628e	10	0	prologue
0x6006298	166	1	bsr
0x6006340	34	1	jsr-pool
0x6006362	4	1	jsr-pool+ptr32
0x6006366	22	0	prologue
0x600637c	18	6	prologue+jsr-pool+ptr32
0x600638e	48	2	prologue+jsr-pool+ptr32
0x60063be	116	1	prologue+jsr-pool+ptr32
0x6006432	46	3	prologue+jsr-pool+ptr32
0x6006460	48	0	prologue
0x6006490	108	6	prologue+jsr-pool+ptr32
0x60064fc	44	6	jsr-pool+ptr32
0x6006534	54	7	prologue+bsr
0x60065c0	98	1	prologue+bsr
0x6006622	18	1	bsr
0x6006638	162	0	prologue+ptr32
0x60066da	104	0	prologue+ptr32
0x6006742	4	0	ptr32
0x6006746	8	0	ptr32
0x600674e	16	3	jsr-pool+ptr32
0x600675e	6	4	jsr-pool+ptr32
0x6006764	20	3	bsr
0x6006778	44	1	prologue+bsr
0x60067a4	84	1	prologue+bsr
0x60067f8	28	1	prologue+bsr
0x6006814	74	0	prologue+ptr32
0x60068ac	44	0	prologue+ptr32
0x60068d8	126	0	prologue+ptr32
0x6006956	86	0	prologue+ptr32
0x60069ec	48	1	prologue+bsr
0x6006a2c	386	2	prologue+bsr
0x6006bb2	54	1	jmp-pool+ptr32
0x6006bee	28	0	prologue+jmp-pool+ptr32
0x6006c0a	24	1	prologue+bsr
0x6006c2c	50	1	jsr-pool+ptr32
0x6006c68	148	0	prologue+ptr32
0x6006cfc	74	1	prologue+bsr
0x6006d84	994	0	prologue+ptr32
0x6007166	8	1	jsr-pool+ptr32
0x60071a8	60	1	prologue+bsr
0x60071e4	124	1	prologue+bsr
0x6007280	220	0	prologue
0x6007378	62	3	prologue+jsr-pool+ptr32
0x60073b6	66	1	jsr-pool+ptr32
0x60073f8	58	1	prologue+bsr
0x6007432	42	1	jsr-pool+ptr32
0x6007480	70	3	prologue+jsr-pool+ptr32
