# tools/libscan.py --emit tsv extracted/1ST_READ.PRG (253650 bytes), 33 lib files
lib	member	tool	section	sec_len	fixed	status	placements
FLD_LOAD.LIB	fld_load	C_SH	SEGA_P	296	276	miss	
SEGADGFS.LIB	gfsd	C_SH	SEGA_P	6136	5728	miss	
SEGADGFS.LIB	gfsd_mmf	C_SH	SEGA_P	344	326	miss	
SEGADGFS.LIB	gfsd_mmb	C_SH	SEGA_P	388	356	miss	
SEGADGFS.LIB	gfsd_mmc	C_SH	SEGA_P	264	260	miss	
SEGADGFS.LIB	gfsd_dir	C_SH	SEGA_P	2984	2846	miss	
SEGADGFS.LIB	gfsd_buf	C_SH	SEGA_P	168	152	hit-1	0x377f0
SEGADGFS.LIB	gfsd_trn	C_SH	SEGA_P	2204	2100	miss	
SEGADGFS.LIB	gfsd_cdf	C_SH	SEGA_P	2048	1894	miss	
SEGADGFS.LIB	gfsd_cdb	C_SH	SEGA_P	1304	1188	miss	
SEGADGFS.LIB	gfsd_cdc	C_SH	SEGA_P	5992	5632	miss	
SEGADGFS.LIB	gfsd_sfb	C_SH	SEGA_P	348	330	miss	
SEGADGFS.LIB	gfsd_sff	C_SH	SEGA_P	416	396	miss	
SEGA_ADP.LIB	adpmobuf	C_SH	SEGA_P	76	70	miss	
SEGA_ADP.LIB	adpstbuf	C_SH	SEGA_P	76	70	miss	
SEGA_ADP.LIB	adpunit	A_SH	SEGA_P	532	504	miss	
SEGA_BPL.LIB	bpl_main	C_SH	SEGA_P	3104	2984	miss	
SEGA_BUP.LIB	bup_usr	C_SH	SEGA_P	748	730	miss	
SEGA_CDC.LIB	cdc_cmn	C_SH	SEGA_P	820	760	miss	
SEGA_CDC.LIB	cdc_drv	C_SH	SEGA_P	252	246	miss	
SEGA_CDC.LIB	cdc_scd	C_SH	SEGA_P	124	114	miss	
SEGA_CDC.LIB	cdc_dev	C_SH	SEGA_P	164	154	hit-1	0x3a6c0
SEGA_CDC.LIB	cdc_sel	C_SH	SEGA_P	564	556	hit-1	0x3a764
SEGA_CDC.LIB	cdc_bif	C_SH	SEGA_P	516	502	hit-1	0x3a998
SEGA_CDC.LIB	cdc_bio	C_SH	SEGA_P	396	388	hit-1	0x3ab9c
SEGA_CDC.LIB	cdc_cfs	C_SH	SEGA_P	344	328	miss	
SEGA_CDC.LIB	cdc_reg	C_SH	SEGA_P	532	516	miss	
SEGA_CDC.LIB	cdc_sub	C_SH	SEGA_P	244	232	miss	
SEGA_CDC.LIB	cdc_mdc	C_SH	SEGA_P	648	604	miss	
SEGA_CDC.LIB	cdc_mst	C_SH	SEGA_P	464	450	miss	
SEGA_CDC.LIB	cdc_mwn	C_SH	SEGA_P	284	280	miss	
SEGA_CDC.LIB	cdc_mfb	C_SH	SEGA_P	256	248	miss	
SEGA_CDC.LIB	cdc_mbu	C_SH	SEGA_P	108	104	miss	
SEGA_CDC.LIB	cdc_mls	C_SH	SEGA_P	156	152	miss	
SEGA_CDC.LIB	cdc_msb	C_SH	SEGA_P	304	288	miss	
SEGA_CMP.LIB	cmplrun	C_SH	SEGA_P	96	82	miss	
SEGA_CMP.LIB	cmplrunb	C_SH	SEGA_P	240	230	miss	
SEGA_CMP.LIB	cmplrunw	C_SH	SEGA_P	308	300	miss	
SEGA_CMP.LIB	cmplrund	C_SH	SEGA_P	344	328	miss	
SEGA_CMP.LIB	cmpltool	C_SH	SEGA_P	76	76	miss	
SEGA_CPK.LIB	cpk_lib	C_SH	SEGA_P	2296	2050	miss	
SEGA_CPK.LIB	cpk_gfs	C_SH	SEGA_P	1420	1270	miss	
SEGA_CPK.LIB	cpk_stm	C_SH	SEGA_P	2696	2356	miss	
SEGA_CPK.LIB	cpk_mp	C_SH	SEGA_P	8044	7506	miss	
SEGA_CPK.LIB	cpk_time	C_SH	SEGA_P	2316	2226	miss	
SEGA_CPK.LIB	cpk_vide	C_SH	SEGA_P	3146	2986	miss	
SEGA_CPK.LIB	cpk_audi	C_SH	SEGA_P	1834	1734	miss	
SEGA_CPK.LIB	cpk_etc	C_SH	SEGA_P	282	282	miss	
SEGA_CPK.LIB	cpk_decf	C_SH	SEGA_P	936	874	miss	
SEGA_CPK.LIB	cpk_deb	C_SH	SEGA_P	220	198	hit-1	0x3c070
SEGA_CPK.LIB	slavesh	C_SH	SEGA_P	300	258	hit-1	0x3c14c
SEGA_CPK.LIB	cpk_ra	A_SH	SEGA_P	546	546	hit-1	0x3c5cc
SEGA_CPK.LIB	cpk_er	A_SH	SEGA_P	602	602	hit-1	0x3c7f0
SEGA_CPK.LIB	cpk_mc	A_SH	SEGA_P	724	716	hit-1	0x3ca4c
SEGA_CPK.LIB	cpk_scu	A_SH	SEGA_P	228	228	hit-1	0x3c278
SEGA_CSH.LIB	csh_main	C_SH	SEGA_P	212	210	miss	
SEGA_DBG.LIB	dbg_disp	C_SH	SEGA_P	3808	3390	miss	
SEGA_DBG.LIB	dbg_moni	C_SH	SEGA_P	2144	1938	miss	
SEGA_DBG.LIB	dbg_intr	A_SH	SEGA_P	104	92	miss	
SEGA_DMA.LIB	dma_cpu0	C_SH	SEGA_P	392	392	hit-1	0x3c35c
SEGA_DMA.LIB	dma_cpu1	C_SH	SEGA_P	136	112	miss	
SEGA_DMA.LIB	dma_cpu2	C_SH	SEGA_P	144	118	miss	
SEGA_DMA.LIB	dma_cpu3	C_SH	SEGA_P	144	118	hit-1	0x3c4e4
SEGA_DMA.LIB	dma_cpu4	C_SH	SEGA_P	144	118	miss	
SEGA_DMA.LIB	dma_cpu5	C_SH	SEGA_P	88	68	hit-1	0x3c574
SEGA_DMA.LIB	dma_scu0	C_SH	SEGA_P	752	680	miss	
SEGA_DMA.LIB	dma_scu1	C_SH	SEGA_P	552	500	miss	
SEGA_DSP.LIB	dsp_ctrl	C_SH	SEGA_P	260	256	miss	
SEGA_ERM.LIB	memcheck	C_SH	SEGA_P	236	230	miss	
SEGA_ERM.LIB	sega_erm	C_SH	SEGA_P	280	258	miss	
SEGA_ERM.LIB	ccitt	C_SH	SEGA_P	80	72	miss	
SEGA_GFS.LIB	gfs	C_SH	SEGA_P	5964	5610	miss	
SEGA_GFS.LIB	gfs_dir	C_SH	SEGA_P	2038	1960	miss	
SEGA_GFS.LIB	gfs_buf	C_SH	SEGA_P	168	152	hit-1	0x377f0
SEGA_GFS.LIB	gfs_trn	C_SH	SEGA_P	2204	2100	miss	
SEGA_GFS.LIB	gfs_cdf	C_SH	SEGA_P	2076	1922	miss	
SEGA_GFS.LIB	gfs_cdb	C_SH	SEGA_P	1304	1188	miss	
SEGA_GFS.LIB	gfs_cdc	C_SH	SEGA_P	5992	5632	miss	
SEGA_INT.LIB	int_main	C_SH	SEGA_P	28	20	miss	
SEGA_MEM.LIB	mem_call	C_SH	SEGA_P	64	58	miss	
SEGA_MEM.LIB	mem_free	C_SH	SEGA_P	120	116	miss	
SEGA_MEM.LIB	mem_init	C_SH	SEGA_P	32	26	miss	
SEGA_MEM.LIB	mem_mall	C_SH	SEGA_P	104	100	miss	
SEGA_MEM.LIB	mem_real	C_SH	SEGA_P	88	78	miss	
SEGA_MPG.LIB	mpg_sys	C_SH	SEGA_P	3440	3078	miss	
SEGA_MPG.LIB	mpg_mve	C_SH	SEGA_P	1768	1652	miss	
SEGA_MPG.LIB	mpg_mve2	C_SH	SEGA_P	3216	2994	miss	
SEGA_MPG.LIB	mpg_spc	C_SH	SEGA_P	348	278	miss	
SEGA_MPG.LIB	mpg_win	C_SH	SEGA_P	2612	2402	miss	
SEGA_MTH.LIB	mth_curv	C_SH	SEGA_P	3428	3268	miss	
SEGA_MTH.LIB	mth_fixd	A_SH	SEGA_P	120	120	miss	
SEGA_MTH.LIB	mth_tri	A_SH	SEGA_P	1492	1480	miss	
SEGA_MTH.LIB	mth_rand	C_SH	SEGA_P	32	28	miss	
