# 1ST_READ.PRG suspect triage (Bucket 3 deliverable 5, 2026-07-19).
# The 555 Bucket-2 suspects (size<=4B, 0 callers) classified via flow
# reachability (tools/fn_extent.py): seed-artifact = interior to a real
# function's flow extent (over-seeding); real-function = valid start the
# detector undersized; data = pointer-table entry / non-code.
# addr	size	evidence	class
0x6006742	4	ptr32	data
0x60068d8	4	prologue+ptr32	real-function
0x6006a30	4	prologue	seed-artifact
0x6007222	4	prologue	seed-artifact
0x6007232	4	prologue	seed-artifact
0x6007434	4	prologue	seed-artifact
0x60074cc	4	prologue+jmp-pool+ptr32	real-function
0x60074d0	4	prologue	seed-artifact
0x6007964	4	prologue	real-function
0x6007a1c	4	prologue	real-function
0x6007c54	4	prologue	seed-artifact
0x60086d8	4	prologue	seed-artifact
0x6008960	4	prologue	seed-artifact
0x6008a10	4	prologue	seed-artifact
0x6008b5c	4	prologue	seed-artifact
0x6008bd4	4	prologue	seed-artifact
0x6008ca8	4	prologue	seed-artifact
0x600954e	4	prologue	seed-artifact
0x6009560	4	prologue	seed-artifact
0x6009572	4	prologue	seed-artifact
0x6009584	4	prologue	seed-artifact
0x6009596	4	prologue	seed-artifact
0x60098cc	4	prologue	seed-artifact
0x6009a7c	4	prologue	seed-artifact
0x6009cac	4	prologue+ptr32	real-function
0x6009cb0	4	prologue	seed-artifact
0x6009cb4	4	prologue	seed-artifact
0x600a264	4	prologue	seed-artifact
0x600a268	4	prologue	seed-artifact
0x600a2c8	4	prologue	seed-artifact
0x600a2cc	4	prologue	seed-artifact
0x600a8d4	4	prologue	seed-artifact
0x600a8e6	4	prologue	seed-artifact
0x600a8f8	4	prologue	seed-artifact
0x600a90a	4	prologue	seed-artifact
0x600ac7c	4	prologue	seed-artifact
0x600ad42	4	prologue	seed-artifact
0x600ad46	4	prologue	seed-artifact
0x600aef2	4	prologue	seed-artifact
0x600afc0	4	prologue	seed-artifact
0x600b03c	4	prologue	seed-artifact
0x600b040	4	prologue	seed-artifact
0x600b0f4	4	prologue	seed-artifact
0x600b134	4	prologue	seed-artifact
0x600b138	4	prologue	seed-artifact
0x600b1a4	4	prologue	seed-artifact
0x600b2fc	4	prologue	seed-artifact
0x600b56a	4	prologue	seed-artifact
0x600b748	4	prologue	real-function
0x600b74c	4	prologue	seed-artifact
0x600ba98	4	prologue	real-function
0x600bf72	4	prologue	seed-artifact
0x600c054	4	prologue	seed-artifact
0x600c0c8	4	prologue	seed-artifact
0x600c0cc	4	prologue	seed-artifact
0x600c0d0	4	prologue	seed-artifact
0x600c140	4	prologue	seed-artifact
0x600c144	4	prologue	seed-artifact
0x600c220	4	prologue	seed-artifact
0x600c224	4	prologue	seed-artifact
0x600c228	4	prologue	seed-artifact
0x600c22c	4	prologue	seed-artifact
0x600c230	4	prologue	seed-artifact
0x600c234	4	prologue	seed-artifact
0x600cb02	4	prologue	seed-artifact
0x600cb06	4	prologue	seed-artifact
0x600ccb4	4	prologue	real-function
0x600ccc0	4	prologue	seed-artifact
0x600ccc4	4	prologue	seed-artifact
0x600d014	4	prologue	seed-artifact
0x600d018	4	prologue	seed-artifact
0x600d01c	4	prologue	seed-artifact
0x600d020	4	prologue	seed-artifact
0x600dc30	4	prologue	seed-artifact
0x600dc64	4	prologue	seed-artifact
0x600dc68	4	prologue	seed-artifact
0x600dca4	4	prologue	seed-artifact
0x600dca8	4	prologue	seed-artifact
0x600dcac	4	prologue	seed-artifact
0x600dfac	4	prologue	seed-artifact
0x600e178	4	prologue	seed-artifact
0x600e17c	4	prologue	seed-artifact
0x600e37c	4	prologue	seed-artifact
0x600e6dc	4	prologue	seed-artifact
0x600e7f2	4	prologue	seed-artifact
0x600e816	4	prologue	seed-artifact
0x600e828	4	prologue	seed-artifact
0x600e83a	4	prologue	seed-artifact
0x600e84c	4	prologue	seed-artifact
0x600ea5c	4	prologue	seed-artifact
0x600ec3c	4	prologue	seed-artifact
0x600ef6c	4	prologue	seed-artifact
0x600f148	4	prologue	seed-artifact
0x600f14c	4	prologue	seed-artifact
0x600f34a	4	prologue	seed-artifact
0x600f36e	4	prologue	seed-artifact
0x600f380	4	prologue	seed-artifact
0x600f3a2	4	prologue	seed-artifact
0x600f3c0	4	prologue	seed-artifact
0x600f698	4	prologue	seed-artifact
0x600f7c8	4	prologue	real-function
0x600fb58	4	prologue	real-function
0x601007e	4	prologue	seed-artifact
0x6011978	4	prologue	seed-artifact
0x601197c	4	prologue	seed-artifact
0x6011b98	4	prologue	seed-artifact
0x6011e46	4	jmp-pool+ptr32	data
0x601227c	4	prologue	real-function
0x60122dc	4	prologue	real-function
0x601233c	4	prologue	real-function
0x6013144	4	prologue	seed-artifact
0x60133a8	2	jsr-pool	real-function
0x6013454	2	prologue	seed-artifact
0x60135ce	2	prologue	seed-artifact
0x60136f8	4	prologue	seed-artifact
0x6013848	4	prologue	seed-artifact
0x60139b8	4	prologue+ptr32	real-function
0x6013a5c	4	prologue+ptr32	real-function
0x6013aa6	2	ptr32	data
0x6013aa8	4	prologue	seed-artifact
0x6013be0	4	prologue	real-function
0x6013be4	4	prologue	seed-artifact
0x6014008	4	prologue	seed-artifact
0x601455c	4	prologue	seed-artifact
0x6014560	4	prologue	seed-artifact
0x6014580	4	prologue	seed-artifact
0x6014584	4	prologue	seed-artifact
0x6014588	4	prologue	seed-artifact
0x60145b0	4	prologue	seed-artifact
0x6014708	4	prologue+ptr32	real-function
0x601479e	2	ptr32	data
0x60147a0	4	prologue	seed-artifact
0x60147ac	4	prologue	seed-artifact
0x60147b0	4	prologue	seed-artifact
0x60147b4	4	prologue	seed-artifact
0x601481e	2	ptr32	data
0x6014820	4	prologue	seed-artifact
0x6014824	4	prologue	seed-artifact
0x6014830	4	prologue	seed-artifact
0x6014834	4	prologue	seed-artifact
0x60148a4	4	prologue	seed-artifact
0x6014960	4	prologue+ptr32	real-function
0x6014964	4	prologue	seed-artifact
0x6014a1c	4	prologue+ptr32	real-function
0x6014a20	4	prologue	seed-artifact
0x6014a70	4	prologue+ptr32	real-function
0x6014a74	4	prologue	seed-artifact
0x6014db4	4	prologue	real-function
0x6014ff8	4	prologue	seed-artifact
0x6014ffc	4	prologue	seed-artifact
0x6015044	4	prologue	seed-artifact
0x6015208	4	prologue	seed-artifact
0x60153f8	4	prologue	real-function
0x6015570	4	prologue	real-function
0x6015f10	4	prologue	real-function
0x6016330	4	prologue	seed-artifact
0x6016340	4	prologue	seed-artifact
0x6016540	4	prologue	seed-artifact
0x6016544	4	prologue	seed-artifact
0x60165d8	4	prologue	seed-artifact
0x60165dc	4	prologue	seed-artifact
0x60165e0	4	prologue	seed-artifact
0x6016bac	4	prologue	seed-artifact
0x6016e68	4	prologue	seed-artifact
0x6016ff8	4	prologue+ptr32	real-function
0x6017738	4	prologue	real-function
0x6017a68	4	prologue	real-function
0x6017a6c	4	prologue	seed-artifact
0x6017e1a	4	prologue	seed-artifact
